text,
And BTW your edit filter doesnt really do much about my editing either obviously Its just an abuse of the a tool to prevent me from commenting about abusive admins Typical,0.36095104
There are some claims that the original crossing was moved slightly but has been given historic building listed status which should protect it against further change BBC News  But it seems that maybe only a nearby lamppost lighting the crossing was moved Notmoved      ,0.024849601
Mormonism like all religions is fraudulent  So ha take that  Some dude burying his head in a hat to read gold tablets  14 million people believe in this shit  Unreal,0.8299589
 Semon   Richard Wolfgang Semon seems to have committed suicide He was an early exponent,0.30527
Baylor kids like to execute themselves,0.5779532
Lastly I love phone intercourse  Phone intercourse for the WIN  Omfg,0.55739564
 particularly executing themm off,0.45703048
Baylor kids like to kill themselves,0.6744087
Lastly I love phone sex Phone sex for the WIN  Omfg,0.5885171
 particularly killing themm off,0.62136006
 Asians are committing genocide in Iraq but no protests in Europe   May Europe also burn in hell,0.6744087
just molest a girl or boy you like,0.47119883
